rank,candidate_id,title,headline,years_experience,ai_skill_count,domain_score,skill_score,experience_score,final_score,headline_text,summary_text,top_career_snippets
1,CAND_0064326,Search Engineer,"Search Engineer | Search, Ranking & Retrieval",7.6,9,0.49708405217551366,0.86,1.0,0.7645452156526542,"Search Engineer | Search, Ranking & Retrieval","Machine learning engineer with 7.6 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro...","...) and human-in-the-loop quality scores. Deployment cut average ticket resolution time by 3... || ...stack from feature engineering through deployment. Recently, I shipped our first RAG-base... || Search Engineer || ...valuation framework with both automatic metrics (BLEU, ROUGE) and human-in-the-loop qua... || ...spent enough time debugging production ranking issues to know which signals matter..."
2,CAND_0018499,Senior Machine Learning Engineer,Senior Machine Learning Engineer | Building AI-native search & ranking systems,7.2,8,0.4645320012899898,0.7485999999999999,1.0,0.7458429337203304,Senior Machine Learning Engineer | Building AI-native search & ranking systems,"Senior AI engineer with 7.2 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval ...","...e recruiter-feedback loop that surfaced reranking edge cases. || ...latency budget was tight. Designed the offline evaluation framework from scratch — NDCG, MRR, rec... || ...oduct. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LL... || Built a RAG-based ranking pipeline serving 50M+ queries per month... || ...entoML on Kubernetes with sub-200ms p95 latency by quantizing to INT8 and batching at t..."
3,CAND_0088025,Staff Machine Learning Engineer,Staff Machine Learning Engineer | Building AI-native search & ranking systems,8.6,10,0.41476274625360665,0.9229999999999999,1.0,0.7377721572094154,Staff Machine Learning Engineer | Building AI-native search & ranking systems,"Senior AI engineer with 8.6 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval ...","...sing a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost)... || ...cessive ranker variants and ran them in A/B testing alongside the legacy keyword system. Th... || Owned the end-to-end ranking pipeline at a recommendations-heavy... || ...nal integration, and the offline/online evaluation that ties it all together. I've shipped... || ...ng ranker improved recruiter engagement metrics by 24% and reduced the average time-to-..."
4,CAND_0069905,Applied ML Engineer,"Applied ML Engineer | Search, Ranking & Retrieval",6.6,10,0.46641056446900403,0.889,1.0,0.735959836007368,"Applied ML Engineer | Search, Ranking & Retrieval","Machine learning engineer with 6.6 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro...","Applied ML Engineer | Search, Ranking & Retrieval || ...) and human-in-the-loop quality scores. Deployment cut average ticket resolution time by 3... || Developed a semantic search feature for an internal knowledge base... || ...comfortable with the operational side — A/B testing, drift monitoring, retraining schedules... || ...ent of 35% over the prior Elasticsearch BM25 setup, validated through human relevanc..."
5,CAND_0011687,Senior NLP Engineer,Senior NLP Engineer | Production ML at scale | 7.8+ yrs,7.8,8,0.411999824260081,0.7802666666666667,1.0,0.7347132806113577,Senior NLP Engineer | Production ML at scale | 7.8+ yrs,"Senior AI engineer with 7.8 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I owned the offline-online evaluation harness — ...","...sing a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost)... || ...8 years of hands-on experience building production ML systems, with a focus on search, ret... || ...entoML on Kubernetes with sub-200ms p95 latency by quantizing to INT8 and batching at t... || Owned the end-to-end ranking pipeline at a recommendations-heavy... || ...abels, plus the eval harness using both ranking metrics and human-quality scores. De..."
6,CAND_0033861,Senior NLP Engineer,Senior NLP Engineer | Building AI-native search & ranking systems,8.0,10,0.411999824260081,0.8592,1.0,0.7335866139446909,Senior NLP Engineer | Building AI-native search & ranking systems,"Senior AI engineer with 8.0 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I drove the platform's RAG strategy from prototy...","...the design and rollout of a large-scale semantic search system serving an internal corpus of 35... || ...with a focus on search, retrieval, and ranking. Most recently, I drove the platform's... || ...us of 35M+ items. Migrated the existing BM25-only retrieval to a hybrid setup combin... || ...items. Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and... || ...entoML on Kubernetes with sub-200ms p95 latency by quantizing to INT8 and batching at t..."
7,CAND_0070398,Machine Learning Engineer,"Machine Learning Engineer | Search, Ranking & Retrieval",7.2,10,0.490113393843891,0.8684,1.0,0.7237940181531674,"Machine Learning Engineer | Search, Ranking & Retrieval","Machine learning engineer with 7.2 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro...","Developed a semantic search feature for an internal knowledge base... || Machine Learning Engineer | Search, Ranking & Retrieval || ...ent of 35% over the prior Elasticsearch BM25 setup, validated through human relevanc... || ...comfortable with the operational side — A/B testing, drift monitoring, retraining schedules... || ...erience building ML-powered features in production. Strong background in NLP, recommendati..."
8,CAND_0050454,AI Engineer,AI Engineer | Applied ML | Building intelligent products,6.8,10,0.43535073385533335,0.879,1.0,0.7221618868232667,AI Engineer | Applied ML | Building intelligent products,"Machine learning engineer with 6.8 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro...","Developed a semantic search feature for an internal knowledge base... || ...ent of 35% over the prior Elasticsearch BM25 setup, validated through human relevanc... || Owned the ranking layer for an e-commerce search produ... || Owned the ranking layer for an e-commerce search product,... || ...ned the ranking layer for an e-commerce search product, evolving it from a hand-tuned..."
9,CAND_0052682,NLP Engineer,NLP Engineer | Applied ML | Building intelligent products,6.6,8,0.33430795859472295,0.7577333333333334,1.0,0.7205390542450837,NLP Engineer | Applied ML | Building intelligent products,"Machine learning engineer with 6.6 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro...","...system serving 10M+ users that combined collaborative filtering with content-based ranking. The system... || ...eature pipeline (~200 features) and the A/B testing infrastructure. The launch improved 7-d... || ...valuation framework with both automatic metrics (BLEU, ROUGE) and human-in-the-loop qua... || Built a content recommendation system serving 10M+ users that combined collaborative... || ...) and human-in-the-loop quality scores. Deployment cut average ticket resolution time by 3..."
10,CAND_0010685,NLP Engineer,NLP Engineer | Applied ML | Building intelligent products,6.7,8,0.509238822628444,0.8076666666666668,1.0,0.7196283134552,NLP Engineer | Applied ML | Building intelligent products,"Machine learning engineer with 6.7 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro...","...stack from feature engineering through deployment. Recently, I built our semantic search... || Developed a semantic search feature for an internal knowledge base... || ...ent of 35% over the prior Elasticsearch BM25 setup, validated through human relevanc... || ...erience building ML-powered features in production. Strong background in NLP, recommendati... || ...ned the ranking layer for an e-commerce search product, evolving it from a hand-tuned..."
